Base,Unit,Section,Subsection,Shelf,Item,Type,Required Qty,Subitems
93,93 Rescue 2,Cab,,,Mileage,NUMBER,,
93,93 Rescue 2,Cab,,,Fuel Card,ONTRUCK,,
93,93 Rescue 2,Cab,,,Fuel,FUEL,,
93,93 Rescue 2,Cab,,,Emergency Lighting,FUNCTIONAL,,
93,93 Rescue 2,Cab,,,Siren,FUNCTIONAL,,
93,93 Rescue 2,Cab,,,Tires,FUNCTIONAL,,
93,93 Rescue 2,Cab,,,Washed Inside/Outside,TEXT,,
93,93 Rescue 2,Cab,,,Door Remote,PASSFAIL,,
93,93 Rescue 2,Cab,,,2-Traffic Vests,ONTRUCK,,
93,93 Rescue 2,Cab,,,Hand Sanitizer,ONTRUCK,,
93,93 Rescue 2,Cab,,,"Clipboard,Pens,Refusal Forms",ONTRUCK,,
93,93 Rescue 2,Cab,,,Box Light,PASSFAIL,,
93,93 Rescue 2,Cab,,,Flashlight,PASSFAIL,,
93,93 Rescue 2,Cab,,,Disinfectant,ONTRUCK,,
93,93 Rescue 2,Cab,,,DOT Guide Book,ONTRUCK,,
93,93 Rescue 2,Cab,,,i-Pad,PASSFAIL,,
93,93 Rescue 2,Cab,,,Binoculars,ONTRUCK,,
93,93 Rescue 2,Cab,,,Map Book,ONTRUCK,,
93,93 Rescue 2,Cab,,,Small Gloves,ONTRUCK,,
93,93 Rescue 2,Cab,,,Medium Gloves,ONTRUCK,,
93,93 Rescue 2,Cab,,,Large Gloves,ONTRUCK,,
93,93 Rescue 2,Cab,,,XL Gloves,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Top Shelf,Pedi-Immobilizer,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Top Shelf,Traction Splint,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Top Shelf,Frac - Pak,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Top Shelf,Spinal Bag (Red Bag),ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Top Shelf,4 - Spray Cans,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Middle Shelf,Chainsaw,PASSFAIL,,
93,93 Rescue 2,Compartment #1,,Middle Shelf,Chainsaw Battery (0-100%),NUMBER,,
93,93 Rescue 2,Compartment #1,,Middle Shelf,Blower,PASSFAIL,,
93,93 Rescue 2,Compartment #1,,Middle Shelf,Blower Battery (0-100%),NUMBER,,
93,93 Rescue 2,Compartment #1,,Middle Shelf,Haligan Tool,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Bottom Shelf,7-Traffic Cones,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Bottom Shelf,2-Rolls Scene Tape,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Bottom Shelf,Box Light,PASSFAIL,,
93,93 Rescue 2,Compartment #1,,Bottom Shelf,2-Wheel Chocks,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Bottom Shelf,Large Gloves,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Bottom Shelf,Spare 02 Tank,ONTRUCK,,
93,93 Rescue 2,Compartment #2,,Top Shelf,Assorted Hand Tools,ONTRUCK,,
93,93 Rescue 2,Compartment #2,,Sliding Shelf,Medical Bag,ONTRUCK,,
93,93 Rescue 2,Compartment #2,,Sliding Shelf,AED,PASSFAIL,,
93,93 Rescue 2,Compartment #2,,Sliding Shelf,AED PAD 1,DATE,,
93,93 Rescue 2,Compartment #2,,Sliding Shelf,AED PAD 2,DATE,,
93,93 Rescue 2,Compartment #2,,Sliding Shelf,Lucas,PASSFAIL,,
93,93 Rescue 2,Compartment #2,,Sliding Shelf,Lucas Battery (0-100%),TEXT,,
93,93 Rescue 2,Compartment #2,,Sliding Shelf,Suction Unit,PASSFAIL,,
93,93 Rescue 2,Compartment #2,,Sliding Shelf,Ice Cooler With Drinks,ONTRUCK,,
93,93 Rescue 2,Compartment #2,,Sliding Shelf,Mega Mover,ONTRUCK,,
93,93 Rescue 2,Compartment #2,,Sliding Shelf,Disinfecting Wipes,ONTRUCK,,
93,93 Rescue 2,Compartment #1,,Bottom Shelf,XL Gloves,ONTRUCK,,
93,93 Rescue 2,Compartment #3,,Top Shelf,Tarps,ONTRUCK,,
93,93 Rescue 2,Compartment #3,,Top Shelf,Blankets,ONTRUCK,,
93,93 Rescue 2,Compartment #3,,Middle Shelf,Tool Box,ONTRUCK,,
93,93 Rescue 2,Compartment #3,,Middle Shelf,Socket Set,ONTRUCK,,
93,93 Rescue 2,Compartment #3,,Middle Shelf,Wrench Set,ONTRUCK,,
93,93 Rescue 2,Compartment #3,,Bottom Shelf,Honda Generator,PASSFAIL,,
93,93 Rescue 2,Compartment #3,,Bottom Shelf,Honda Generator Fuel Level,FUEL,,
93,93 Rescue 2,Compartment #3,,Bottom Shelf,1-Gallon Zip Zorb,ONTRUCK,,
93,93 Rescue 2,Compartment #3,,Bottom Shelf,1-Quart Tru Fuel,FUEL,,
93,93 Rescue 2,Compartment #3,,Bottom Shelf,Power Cord Reel,ONTRUCK,,
93,93 Rescue 2,Top Of Truck,,,Stokes Basket,ONTRUCK,,
93,93 Rescue 2,Top Of Truck,,,Ladder,ONTRUCK,,
93,93 Rescue 2,Back Of Truck,,,Milwaulkee Sawzaw,PASSFAIL,,
93,93 Rescue 2,Back Of Truck,,,Sawzaw Spare Blades,ONTRUCK,,
93,93 Rescue 2,Back Of Truck,,,Dewalt Sawzaw,PASSFAIL,,
93,93 Rescue 2,Back Of Truck,,,Dewalt Battery 1 (0-100%),TEXT,,
93,93 Rescue 2,Back Of Truck,,,Dewalt Battery 2 (0-100%),TEXT,,
93,93 Rescue 2,Back Of Truck,,,Glass Master/Punch,ONTRUCK,,
93,93 Rescue 2,Back Of Truck,,,Cutters,PASSFAIL,,
93,93 Rescue 2,Back Of Truck,,,Spreaders,PASSFAIL,,
93,93 Rescue 2,Back Of Truck,,,Spreader Battery (0-100%),TEXT,,
93,93 Rescue 2,Back Of Truck,,,Cutters,PASSFAIL,,
93,93 Rescue 2,Back Of Truck,,,Cutter Battery (0-100%),TEXT,,
93,93 Rescue 2,Back Of Truck,,,Ram,PASSFAIL,,
93,93 Rescue 2,Back Of Truck,,,Ram Battery (0-100%),TEXT,,
93,93 Rescue 2,Back Of Truck,,,2 Spare E-Draulic Batteries,PASSFAIL,,
93,93 Rescue 2,Back Of Truck,,,Manual Brake Pedal Cutter,PASSFAIL,,
93,93 Rescue 2,Back Of Truck,,,3-Struts,ONTRUCK,,
93,93 Rescue 2,Back Of Truck,,,Strut Acc's (Black Bag),ONTRUCK,,
93,93 Rescue 2,Passenger Compartment #1,,Top Shelf,5-Airbags,ONTRUCK,,
93,93 Rescue 2,Passenger Compartment #1,,Top Shelf,5-Plywood,ONTRUCK,,
93,93 Rescue 2,Passenger Compartment #1,,Top Shelf,Airbag Controller/Hoses (Orange Case),ONTRUCK,,
93,93 Rescue 2,Passenger Compartment #1,,Top Shelf,Misc Air Tools (Yellow Box),ONTRUCK,,
93,93 Rescue 2,Passenger Compartment #1,,Bottom Shelf,Air Bottle 1,TEXT,,
93,93 Rescue 2,Passenger Compartment #1,,Bottom Shelf,Air Bottle 2,TEXT,,
93,93 Rescue 2,Passenger Compartment #1,,Bottom Shelf,2 Green Chain Boxes,ONTRUCK,,
93,93 Rescue 2,Passenger Compartment #1,,Bottom Shelf,2 Bottle Jacks,ONTRUCK,,
93,93 Rescue 2,Passenger Compartment #1,,Bottom Shelf,Fire Extinguisher EXP,DATE,,
93,93 Rescue 2,Passenger Compartment #2,,Top Shelf,Assorted Hand Tools,ONTRUCK,,
93,93 Rescue 2,Passenger Compartment #2,,Bottom Shelf,Blue EVAC Pack,ONTRUCK,,
93,93 Rescue 2,Passenger Compartment #2,,Bottom Shelf,Rescue Net (Black Bag),ONTRUCK,,
93,93 Rescue 2,Passenger Compartment #2,,Bottom Shelf,Water Rescue Bag (Red),ONTRUCK,,
93,93 Rescue 2,Passenger Compartment #3,,,16 - 2X4 Cribbing,ONTRUCK,,
93,93 Rescue 2,Passenger Compartment #3,,,12 - 2x4 Wedges,ONTRUCK,,
93,93 Rescue 2,Passenger Compartment #3,,,24 - 4X4 Cribbing,ONTRUCK,,
93,93 Rescue 2,Passenger Compartment #3,,,4 - Step Cribbing,ONTRUCK,,
93,93 Rescue 2,Passenger Compartment #3,,,6 - 6X6 Cribbing,ONTRUCK,,
,Test,Cab,,,Test,ONTRUCK,,
,Test,Cab,,,Mileage,NUMBER,,
,Test Unit,Medical Bag,Flap,,EPI,DATE,,
93,93 Rescue 2,Medical Bag,Left Side,,Small B/P Cuff,ONTRUCK,,
93,93 Rescue 2,Medical Bag,Left Side,,Adult B/P Cuff,ONTRUCK,,
93,93 Rescue 2,Medical Bag,Left Side,,Glucometer,PASSFAIL,,
93,93 Rescue 2,Medical Bag,Left Side,,Glucometer Strips,DATE,,
93,93 Rescue 2,Medical Bag,Left Side,,"Lancets, Bandaids, Alc Preps",ONTRUCK,5,
93,93 Rescue 2,Medical Bag,Left Side,,Pulse OX,PASSFAIL,,
93,93 Rescue 2,Medical Bag,Left Side,,Pen & Pad,ONTRUCK,,
93,93 Rescue 2,Medical Bag,Left Side,,Stethescope,ONTRUCK,,
93,93 Rescue 2,Medical Bag,Left Side,,Pen Light,PASSFAIL,,
93,93 Rescue 2,Medical Bag,Right Side,,1 Inch Coban,ONTRUCK,1,
93,93 Rescue 2,Medical Bag,Right Side,,2 Inch Coban,ONTRUCK,1,
93,93 Rescue 2,Medical Bag,Right Side,,1 Inch Tape,ONTRUCK,1,
93,93 Rescue 2,Medical Bag,Right Side,,2 Inch Tape,ONTRUCK,1,
93,93 Rescue 2,Medical Bag,Right Side,,Triangular Bandages,ONTRUCK,2,
93,93 Rescue 2,Medical Bag,Right Side,,4X4 Gauze,ONTRUCK,4,
93,93 Rescue 2,Medical Bag,Right Side,,5X9 ABD Pads,ONTRUCK,3,
93,93 Rescue 2,Medical Bag,Right Side,,Trauma Shears,ONTRUCK,,
93,93 Rescue 2,Medical Bag,Right Side,,3In Stretch Gauze,ONTRUCK,3,
93,93 Rescue 2,Medical Bag,Right Side,,6In Stretch Gauze,ONTRUCK,3,
93,93 Rescue 2,Medical Bag,Right Side,,Tourniquet,ONTRUCK,1,
93,93 Rescue 2,Medical Bag,Flap,,Narcan,DATE,1,
93,93 Rescue 2,Medical Bag,Flap,,Epinephren,DATE,1,
93,93 Rescue 2,Medical Bag,Flap,,Oral Glucose 1,DATE,1,
93,93 Rescue 2,Medical Bag,Flap,,Oral Glucose 2,DATE,1,
93,93 Rescue 2,Medical Bag,Flap,,Sharps Container,ONTRUCK,,
93,93 Rescue 2,Medical Bag,Flap,,XL B/P Cuff,ONTRUCK,,
93,93 Rescue 2,Medical Bag,Flap,,Emisis Bag,ONTRUCK,2,
93,93 Rescue 2,Medical Bag,Flap,,Bio-Bag,ONTRUCK,2,
93,93 Rescue 2,Medical Bag,Flap,,Safety Glasses,ONTRUCK,,
93,93 Rescue 2,Medical Bag,Middle Compartment,,O2 Tank PSI,TEXT,,
93,93 Rescue 2,Medical Bag,Middle Compartment,,Adult BVM,ONTRUCK,1,
93,93 Rescue 2,Medical Bag,Middle Compartment,,Pediatric BVM,ONTRUCK,1,
93,93 Rescue 2,Medical Bag,Middle Compartment,,C-Collar Adult,ONTRUCK,,
93,93 Rescue 2,Medical Bag,Middle Compartment,,C-Collar Pediatric,ONTRUCK,,
93,93 Rescue 2,Medical Bag,Middle Compartment,,Sterile Water,DATE,,
93,93 Rescue 2,Medical Bag,Middle Compartment,,Sam Splint,ONTRUCK,1,
93,93 Rescue 2,Medical Bag,Middle Compartment,,Adult Non-Rebreather,ONTRUCK,1,
93,93 Rescue 2,Medical Bag,Airway Bag,,20FR NPA,DATE,,
93,93 Rescue 2,Medical Bag,Airway Bag,,22FR NPA,DATE,,
93,93 Rescue 2,Medical Bag,Airway Bag,,24FR NPA,DATE,,
93,93 Rescue 2,Medical Bag,Airway Bag,,26FR NPA,DATE,,
93,93 Rescue 2,Medical Bag,Airway Bag,,28FR NPA,DATE,,
93,93 Rescue 2,Medical Bag,Airway Bag,,32FR NPA,DATE,,
93,93 Rescue 2,Medical Bag,Airway Bag,,34FR NPA,DATE,,
93,93 Rescue 2,Medical Bag,Airway Bag,,Lube,DATE,6,
93,93 Rescue 2,Medical Bag,Airway Bag,,Adult Non Rebreather,ONTRUCK,1,
93,93 Rescue 2,Medical Bag,Airway Bag,,Adult Nasal Cannula,ONTRUCK,,
93,93 Rescue 2,Medical Bag,Airway Bag,,Pediatric Non Rebreather,ONTRUCK,,
93,93 Rescue 2,Medical Bag,Airway Bag,,Pediatric Nasal Cannula,ONTRUCK,,
93,93 Rescue 2,Medical Bag,Airway Bag,,Assorted OPA,ONTRUCK,6,
93,93 Rescue 2,Medical Bag,Airway Bag,,#3 King Airway,DATE,,
93,93 Rescue 2,Medical Bag,Airway Bag,,#4 King Airway,DATE,,
93,93 Rescue 2,Medical Bag,Airway Bag,,#5 King Airway,DATE,,
93,93 Rescue 2,Medical Bag,Airway Bag,,Adult Tube Holder,ONTRUCK,1,
93,93 Rescue 2,Medical Bag,Airway Bag,,60ML Syringe,ONTRUCK,1,
98,98 Squad 1,Vehicle Maintinance/Functionality,,,Mileage,NUMBER,,
98,98 Squad 1,Vehicle Maintinance/Functionality,,,Fuel Level,FUEL,,
98,98 Squad 1,Vehicle Maintinance/Functionality,,,Emergency Lighting,FUNCTIONAL,,
98,98 Squad 1,Vehicle Maintinance/Functionality,,,Scene Lighting,FUNCTIONAL,,
98,98 Squad 1,Vehicle Maintinance/Functionality,,,Cleaned Inside/Outside,YESNO,,
98,98 Squad 1,Vehicle Maintinance/Functionality,,,Tires (Good/Bad),TEXT,,
98,98 Squad 1,Cab Of Truck,,,"Gloves (S,M,L,XL)",ONTRUCK,,
98,98 Squad 1,Cab Of Truck,,,Spare O2 Bottle Under Back Seat,ONTRUCK,,
98,98 Squad 1,Cab Of Truck,,,Safety Vest,ONTRUCK,2,
98,98 Squad 1,Cab Of Truck,,,DOT Guide Book,ONTRUCK,,
98,98 Squad 1,Cab Of Truck,,,Binoculars,ONTRUCK,,
98,98 Squad 1,Cab Of Truck,,,Clipboard,ONTRUCK,,"Run Sheets
Refusal Forms
Pen
Narcan Forms"
98,98 Squad 1,Transverse Compartment Drivers Side,,Top Shelf,Struts/Strut Fasteners,ONTRUCK,,
98,98 Squad 1,Transverse Compartment Drivers Side,,Top Shelf,Frac Pack,ONTRUCK,,
98,98 Squad 1,Transverse Compartment Drivers Side,,Top Shelf,Adult KED,ONTRUCK,,
98,98 Squad 1,Transverse Compartment Drivers Side,,Top Shelf,Traction Splint,ONTRUCK,2,
98,98 Squad 1,Transverse Compartment Drivers Side,,Middle Shelf,High Lift Jacks,ONTRUCK,2,
98,98 Squad 1,Transverse Compartment Drivers Side,,Middle Shelf,Backboards w/ speed clips,ONTRUCK,2,
98,98 Squad 1,Transverse Compartment Drivers Side,,Middle Shelf,Stokes Basket,ONTRUCK,,
98,98 Squad 1,Transverse Compartment Drivers Side,,Bottom Shelf,Box Lights,PASSFAIL,2,
98,98 Squad 1,Middle Compartment Drivers Side,,Top Shelf,Medical Bag,ONTRUCK,,
98,98 Squad 1,Middle Compartment Drivers Side,,Top Shelf,Lucas,"FUNCTIONAL,PERCENTAGE,BAG",,"Spare Battery
Charging Cable"
98,98 Squad 1,Middle Compartment Drivers Side,,Top Shelf,Orange Spinal Bag,ONTRUCK,,
98,98 Squad 1,Middle Compartment Drivers Side,,Top Shelf,Cavi Wipes,ONTRUCK,,
98,98 Squad 1,Middle Compartment Drivers Side,,Top Shelf,Blue Lid Box,ONTRUCK,2,
98,98 Squad 1,Middle Compartment Drivers Side,,Top Shelf,Red Triage Bag,ONTRUCK,,
98,98 Squad 1,Middle Compartment Drivers Side,,Bottom Shelf,Suction Unit,PASSFAIL,,
98,98 Squad 1,Middle Compartment Drivers Side,,Bottom Shelf,Cooler,ONTRUCK,,"Ice
Drinks"
98,98 Squad 1,Middle Compartment Drivers Side,,Bottom Shelf,Winch,ONTRUCK,,
98,98 Squad 1,Middle Compartment Drivers Side,,Bottom Shelf,Red Winch Bag,ONTRUCK,,"Winch Controller
Winch Cable Ext
D-Clevis"
98,98 Squad 1,Middle Compartment Drivers Side,,Bottom Shelf,Trailer Hitch & Pin,ONTRUCK,,
98,98 Squad 1,Rear Compartment Drivers Side,,Top Shelf,Hurst Battery / Charger,"ONTRUCK,PERCENTAGE",,
98,98 Squad 1,Rear Compartment Drivers Side,,Top Shelf,Glass Master,ONTRUCK,,
98,98 Squad 1,Rear Compartment Drivers Side,,Top Shelf,Orange Hammer Punch,ONTRUCK,,
98,98 Squad 1,Rear Compartment Drivers Side,,Top Shelf,1In Black Webbing,ONTRUCK,,
98,98 Squad 1,Rear Compartment Drivers Side,,Top Shelf,Scene Tape,ONTRUCK,,
98,98 Squad 1,Rear Compartment Drivers Side,,Middle Shelf,Sledge Hammer,ONTRUCK,,
98,98 Squad 1,Rear Compartment Drivers Side,,Middle Shelf,Rope Protectors,ONTRUCK,,
98,98 Squad 1,Rear Compartment Drivers Side,,Middle Shelf,Extrication Lubricants,ONTRUCK,,
98,98 Squad 1,Rear Compartment Drivers Side,,Middle Shelf,Towles,ONTRUCK,,
98,98 Squad 1,Rear Compartment Drivers Side,,Bottom Shelf,Gray Toolbox / Chains,ONTRUCK,,
98,98 Squad 1,Rear Compartment Drivers Side,,Bottom Shelf,Hand Tools,ONTRUCK,,
98,98 Squad 1,Rear Compartment Back Of Truck,,Top Shelf,Step Cribbing,ONTRUCK,,
98,98 Squad 1,Rear Compartment Back Of Truck,,Top Shelf,4X4 Cribbing,ONTRUCK,,
98,98 Squad 1,Rear Compartment Back Of Truck,,Top Shelf,Wedges,ONTRUCK,,
98,98 Squad 1,Rear Compartment Back Of Truck,,Bottom Shelf,Hurst Spreaders,"ONTRUCK,FUNCTIONAL,PERCENTAGE",,
98,98 Squad 1,Rear Compartment Back Of Truck,,Bottom Shelf,Hurst Cutters,"ONTRUCK,FUNCTIONAL,PERCENTAGE",,
98,98 Squad 1,Rear Compartment Back Of Truck,,Bottom Shelf,Hurst Ram,"ONTRUCK,FUNCTIONAL,PERCENTAGE",,
98,98 Squad 1,Rear Compartment Back Of Truck,,Bottom Shelf,Hurst Ram Ext,ONTRUCK,,
98,98 Squad 1,Rear Compartment Back Of Truck,,Bottom Shelf,Extra Hurst Spreader Jaws,ONTRUCK,,
98,98 Squad 1,Rear Compartment Back Of Truck,,Bottom Shelf,Blue Metal Box,ONTRUCK,,Corded Battery
98,98 Squad 1,Rear Compartment Back Of Truck,,Bottom Shelf,Green Metal Box,ONTRUCK,,Corded Battery
98,98 Squad 1,Transverse Compartment Passenger Side,,Top Shelf,Pedi Immobilizer,ONTRUCK,,
98,98 Squad 1,Transverse Compartment Passenger Side,,Top Shelf,Ped Boards,ONTRUCK,,
98,98 Squad 1,Transverse Compartment Passenger Side,,Top Shelf,Swiftwater Gear,ONTRUCK,,
98,98 Squad 1,Transverse Compartment Passenger Side,,Bottom,Fire Extinguisher,DATE,,
98,98 Squad 1,Middle Compartment Passenger Side,,Top Shelf,Airbag Controller Box,ONTRUCK,,
98,98 Squad 1,Middle Compartment Passenger Side,,Top Shelf,Airbags,ONTRUCK,5,
98,98 Squad 1,Middle Compartment Passenger Side,,Top Shelf,Plywood,ONTRUCK,5,
98,98 Squad 1,Middle Compartment Passenger Side,,Middle Shelf,Orange Traffic Cones,ONTRUCK,15,
98,98 Squad 1,Middle Compartment Passenger Side,,Middle Shelf,SCBA/Air Pack,"ONTRUCK,FUNCTIONAL,PSI",,
98,98 Squad 1,Middle Compartment Passenger Side,,Middle Shelf,SCBA Mask,ONTRUCK,,
98,98 Squad 1,Middle Compartment Passenger Side,,Middle Shelf,SCBA Bottles,"ONTRUCK,PSI,PSI2",,
98,98 Squad 1,Middle Compartment Passenger Side,,Bottom Shelf,Blue Tarp,ONTRUCK,2,
98,98 Squad 1,Middle Compartment Passenger Side,,Bottom Shelf,Sheet,ONTRUCK,1,
98,98 Squad 1,Rear Compartment Passenger Side,,Top Shelf,Hurst Battery / Charger,"ONTRUCK,PERCENTAGE",,
98,98 Squad 1,Rear Compartment Passenger Side,,Top Shelf,Jumper Cables,ONTRUCK,,
98,98 Squad 1,Rear Compartment Passenger Side,,Top Shelf,Yellow Electrical Box,ONTRUCK,,
98,98 Squad 1,Rear Compartment Passenger Side,,Middle Shelf,Zip Zorb,ONTRUCK,,
98,98 Squad 1,Rear Compartment Passenger Side,,Middle Shelf,Chainsaw,"ONTRUCK,FUNCTIONAL,FUEL,OIL",,
98,98 Squad 1,Rear Compartment Passenger Side,,Middle Shelf,Chain Saw Chaps,ONTRUCK,,
98,98 Squad 1,Rear Compartment Passenger Side,,Middle Shelf,Tru Fuel,"ONTRUCK,FUEL",,
98,98 Squad 1,Rear Compartment Passenger Side,,Bottom Shelf,Pulleys (Yellow Bag),ONTRUCK,,
98,98 Squad 1,Rear Compartment Passenger Side,,Bottom Shelf,Ropes (Black Bag),ONTRUCK,,
98,98 Squad 1,Rear Compartment Passenger Side,,Bottom Shelf,Repelling Gear (Blue Bag),ONTRUCK,,
93,93 Medic 1,Vehicle Maintainance/Functionality,,,Mileage,NUMBER,,
93,93 Medic 1,Vehicle Maintainance/Functionality,,,Fuel,FUEL,,
93,93 Medic 1,Vehicle Maintainance/Functionality,,,Fuel Card,ONTRUCK,,
93,93 Medic 1,Vehicle Maintainance/Functionality,,,Emergency Lights,FUNCTIONAL,,
93,93 Medic 1,Vehicle Maintainance/Functionality,,,Siren,FUNCTIONAL,,
93,93 Medic 1,Vehicle Maintainance/Functionality,,,Scene Lights,FUNCTIONAL,,
93,93 Medic 1,Vehicle Maintainance/Functionality,,,Cleaned Inside/Outside,YESNO,,
93,93 Medic 1,Vehicle Maintainance/Functionality,,,Sweep/Mop Patient Compartment,YESNO,,
93,93 Medic 1,Vehicle Maintainance/Functionality,,,Tires (Good/Bad),TEXT,,
93,93 Medic 1,Drivers Side Compartment #1,,,O2 Tank With Regulator,"ONTRUCK,FUNCTIONAL,PSI",,
93,93 Medic 1,Drivers Side Compartment #1,,,Spare O2 Tank,ONTRUCK,,
93,93 Medic 1,Drivers Side Compartment #1,,,Spare O2 Tank,ONTRUCK,,
93,93 Medic 1,Drivers Side Compartment #1,,,O2 M Cylinder,"ONTRUCK,FUNCTIONAL,PSI",,
93,93 Medic 1,Drivers Side Compartment #2,,Top Shelf,Rescue Helmet,ONTRUCK,1,
93,93 Medic 1,Drivers Side Compartment #2,,Top Shelf,Scene Tape,ONTRUCK,1,
93,93 Medic 1,Drivers Side Compartment #2,,Bottom Shelf,Tool Box,ONTRUCK,1,
93,93 Medic 1,Drivers Side Compartment #2,,Bottom Shelf,Jumper Cables,ONTRUCK,1,
93,93 Medic 1,Drivers Side Compartment #2,,Bottom Shelf,Fire Extinguisher,"ONTRUCK,DATE",1,
93,93 Medic 1,Drivers Side Compartment #3,,,Blue Tarp,ONTRUCK,1,
93,93 Medic 1,Drivers Side Compartment #3,,,Orange Folding Backboard,ONTRUCK,1,
93,93 Medic 1,Drivers Side Compartment #3,,,Traffic Cones,ONTRUCK,4,
93,93 Medic 1,Passenger Side Rear Compartment,,,Metal Scoop Stretcher,ONTRUCK,1,
93,93 Medic 1,Passenger Side Rear Compartment,,,Blue Back Boards,ONTRUCK,3,
93,93 Medic 1,Passenger Side Rear Compartment,,,XP-1 (Blue Bag),ONTRUCK,1,
93,93 Medic 1,Passenger Side Rear Compartment,,,Set Of Speed Clips,ONTRUCK,1,
93,93 Medic 1,Passenger Side Middle Compartment,,,Red Spinal Bag 1,"ONTRUCK,SEAL1,SEAL2",,
93,93 Medic 1,Passenger Side Middle Compartment,,,Red Spinal Bag 2,"ONTRUCK,SEAL1,SEAL2",,
93,93 Medic 1,Passenger Side Front Compartment,,,Mega Mover,ONTRUCK,1,
93,93 Medic 1,Patient Compartment,,,Compartment #1,"SEAL1,SEAL2",,
93,93 Medic 1,Patient Compartment,,,Compartment #2,"SEAL1,SEAL2",,
93,93 Medic 1,Patient Compartment,,,Compartment #3,"SEAL1,SEAL2",,
93,93 Medic 1,Patient Compartment,,,Compartment #4,"SEAL1,SEAL2",,
93,93 Medic 1,Patient Compartment,,,Compartment #5 - EMPTY,YESNO,,
93,93 Medic 1,Patient Compartment,,,Compartment #6,"SEAL1,SEAL2",,
93,93 Medic 1,Patient Compartment,,,Compartment #7,"SEAL1,SEAL2",,
93,93 Medic 1,Patient Compartment,,,Compartment #8,"SEAL1,SEAL2",,
93,93 Medic 1,Patient Compartment,,,Compartment #9,"SEAL1,SEAL2",,
93,93 Medic 1,Patient Compartment,,Top Shelf,AED/Pads,"ONTRUCK,FUNCTIONAL,DATE",,"Razor
Pediatric Key"
93,93 Medic 1,Patient Compartment,,Top Shelf,Suction Unit,"ONTRUCK,FUNCTIONAL",,
93,93 Medic 1,Patient Compartment,,Top Shelf,Mast Trousers,ONTRUCK,,
93,93 Medic 1,Patient Compartment,,Middle Shelf,Red Triage Kit,ONTRUCK,,
93,93 Medic 1,Patient Compartment,,Middle Shelf,Suction Containers/Lids,ONTRUCK,,
93,93 Medic 1,Patient Compartment,,Middle Shelf,Hand Sanitizer,ONTRUCK,,
93,93 Medic 1,Patient Compartment,,Middle Shelf,Disinfectant Spray,ONTRUCK,,
93,93 Medic 1,Patient Compartment,,Bottom Shelf,ROSC-U,"ONTRUCK,FUNCTIONAL",,
93,93 Medic 1,Medical Bag,Left Side,,Small B/P Cuff,ONTRUCK,,
93,93 Medic 1,Medical Bag,Left Side,,Adult B/P Cuff,ONTRUCK,,
93,93 Medic 1,Medical Bag,Left Side,,BGL Kit,ONTRUCK,1,"5-Lancets
5-Bandaids
5-Alc Preps"
93,93 Medic 1,Medical Bag,Left Side,,Glucometer & Strips,"ONTRUCK,FUNCTIONAL,TESTNUMBER",1,
93,93 Medic 1,Medical Bag,Left Side,,Pulse Ox,"ONTRUCK,FUNCTIONAL",1,
93,93 Medic 1,Medical Bag,Left Side,,Ped & Pad,ONTRUCK,1,
93,93 Medic 1,Medical Bag,Left Side,,Stethescope,ONTRUCK,1,
93,93 Medic 1,Medical Bag,Left Side,,Pen Light,"ONTRUCK,FUNCTIONAL",1,
93,93 Medic 1,Medical Bag,Right Side,,Coban 1in,ONTRUCK,1,
93,93 Medic 1,Medical Bag,Right Side,,Coban 2In,ONTRUCK,1,
93,93 Medic 1,Medical Bag,Right Side,,1In Tape,ONTRUCK,1,
93,93 Medic 1,Medical Bag,Right Side,,2In Tape,ONTRUCK,1,
93,93 Medic 1,Medical Bag,Right Side,,Triangular Bandages,ONTRUCK,2,
93,93 Medic 1,Medical Bag,Right Side,,8X10 Trauma Dressing,ONTRUCK,2,
93,93 Medic 1,Medical Bag,Right Side,,4X4 Gauze Pads,ONTRUCK,4,
93,93 Medic 1,Medical Bag,Right Side,,5X9 Abdomial Pads,ONTRUCK,3,
93,93 Medic 1,Medical Bag,Right Side,,Trauma Shears,ONTRUCK,1,
93,93 Medic 1,Medical Bag,Right Side,,3In Stretch Gauze,ONTRUCK,3,
93,93 Medic 1,Medical Bag,Right Side,,6In Stretch Gauze,ONTRUCK,3,
93,93 Medic 1,Medical Bag,Right Side,,Tourniquet,ONTRUCK,1,
93,93 Medic 1,Medical Bag,Flap,,Narcan,"ONTRUCK,DATE",1,
93,93 Medic 1,Medical Bag,Flap,,Epinephren,"ONTRUCK,DATE",1,
93,93 Medic 1,Medical Bag,Flap,,Oral Glucose,"ONTRUCK,DATE,DATE2",2,
93,93 Medic 1,Medical Bag,Flap,,Sharps Container,ONTRUCK,1,
